user_id,plant_id,location_id,species_id,plant_name,scientific_name,last_watered,planting_date,watering_interval_days,recommended_soil,life_cycle,environment_type,latitude,longitude,plant_age_days,height_cm,growth_stage,propagation_method,pest_susceptibility,recommended_sunlight,is_sensor_enabled
3,1000,2000,3000,tomato,Solanum lycopersicum,2025-12-31,2025-12-06,2,Well-drained loam,Annual,outdoor,-6.928572,107.628559,26,8.31,Vegetative,Seed Propagation,"aphid, whitefly, leaf spot",full sun,True
1,1001,2001,3001,cabbage,Brassica oleracea var. capitata,2026-01-01,2025-12-09,3,Fertile well-drained soil,Annual,outdoor,-6.933752,107.608406,23,6.54,Vegetative,Seed Propagation,"cabbage worm, aphid, flea beetle",full sun,True
4,1002,2002,3002,lettuce,Lactuca sativa,2025-12-31,2025-12-17,2,Moist well-drained soil,Annual,outdoor,-6.919532,107.610228,15,5.0,Seedling,Seed Propagation,"aphid, downy mildew",partial shade,True
2,1003,2003,3003,chili pepper,Capsicum annuum,2025-12-29,2025-12-20,3,Sandy loam,Perennial,outdoor,-6.92389,107.605319,12,5.0,Seedling,Seed Propagation,"thrips, mite, anthracnose",full sun,True
4,1004,2004,3004,basil,Ocimum basilicum,2026-01-01,2025-11-07,2,Rich well-drained soil,Annual,outdoor,-6.923141,107.612858,55,15.32,Flowering,"Seed Propagation, Cutting","aphid, fungal leaf spot",full sun,True
4,1005,2005,3000,tomato,Solanum lycopersicum,2025-12-28,2025-11-17,2,Well-drained loam,Annual,outdoor,-6.932507,107.635992,45,21.04,Vegetative,Seed Propagation,"aphid, whitefly, leaf spot",full sun,True
3,1006,2006,3001,cabbage,Brassica oleracea var. capitata,2025-12-28,2025-12-10,3,Fertile well-drained soil,Annual,outdoor,-6.929808,107.601882,22,6.15,Vegetative,Seed Propagation,"cabbage worm, aphid, flea beetle",full sun,True
1,1007,2007,3002,lettuce,Lactuca sativa,2025-12-31,2025-11-21,2,Moist well-drained soil,Annual,outdoor,-6.902841,107.614305,41,10.8,Vegetative,Seed Propagation,"aphid, downy mildew",partial shade,True
3,1008,2008,3003,chili pepper,Capsicum annuum,2025-12-31,2025-10-23,3,Sandy loam,Perennial,outdoor,-6.922693,107.60748,70,22.48,Flowering,Seed Propagation,"thrips, mite, anthracnose",full sun,True
1,1009,2009,3004,basil,Ocimum basilicum,2025-12-28,2025-11-16,2,Rich well-drained soil,Annual,outdoor,-6.912101,107.620466,46,17.16,Vegetative,"Seed Propagation, Cutting","aphid, fungal leaf spot",full sun,True
4,1010,2010,3000,tomato,Solanum lycopersicum,2025-12-30,2025-11-19,2,Well-drained loam,Annual,outdoor,-6.897919,107.6247,43,14.87,Vegetative,Seed Propagation,"aphid, whitefly, leaf spot",full sun,True
1,1011,2011,3001,cabbage,Brassica oleracea var. capitata,2025-12-31,2025-11-22,3,Fertile well-drained soil,Annual,outdoor,-6.904628,107.631302,40,11.85,Vegetative,Seed Propagation,"cabbage worm, aphid, flea beetle",full sun,True
2,1012,2012,3002,lettuce,Lactuca sativa,2025-12-28,2025-10-30,2,Moist well-drained soil,Annual,outdoor,-6.902445,107.611687,63,13.16,Flowering,Seed Propagation,"aphid, downy mildew",partial shade,True
4,1013,2013,3003,chili pepper,Capsicum annuum,2025-12-31,2025-10-18,3,Sandy loam,Perennial,outdoor,-6.926905,107.608965,75,21.58,Flowering,Seed Propagation,"thrips, mite, anthracnose",full sun,True
4,1014,2014,3004,basil,Ocimum basilicum,2025-12-28,2025-10-13,2,Rich well-drained soil,Annual,outdoor,-6.921524,107.607873,80,24.31,Flowering,"Seed Propagation, Cutting","aphid, fungal leaf spot",full sun,True
1,1015,2015,3000,tomato,Solanum lycopersicum,2026-01-01,2025-12-03,2,Well-drained loam,Annual,outdoor,-6.903056,107.605214,29,11.93,Vegetative,Seed Propagation,"aphid, whitefly, leaf spot",full sun,True
4,1016,2016,3001,cabbage,Brassica oleracea var. capitata,2025-12-28,2025-11-30,3,Fertile well-drained soil,Annual,outdoor,-6.934959,107.614365,32,9.91,Vegetative,Seed Propagation,"cabbage worm, aphid, flea beetle",full sun,True
1,1017,2017,3002,lettuce,Lactuca sativa,2026-01-01,2025-10-22,2,Moist well-drained soil,Annual,outdoor,-6.910232,107.620579,71,16.84,Flowering,Seed Propagation,"aphid, downy mildew",partial shade,True
3,1018,2018,3003,chili pepper,Capsicum annuum,2026-01-01,2025-11-16,3,Sandy loam,Perennial,outdoor,-6.92576,107.605426,46,15.63,Vegetative,Seed Propagation,"thrips, mite, anthracnose",full sun,True
3,1019,2019,3004,basil,Ocimum basilicum,2025-12-28,2025-12-20,2,Rich well-drained soil,Annual,outdoor,-6.907022,107.619407,12,5.0,Seedling,"Seed Propagation, Cutting","aphid, fungal leaf spot",full sun,True
